"Centroid","Nama Kabupaten/Kota","Tahun","Member of the cluster","Jumlah Banjir","Jumlah Puting Beliung","Jumlah Tanah Longsor"
"2","KABUPATEN GARUT","2017","[ 4  6 27]","4","6","27"
"2","KABUPATEN CIAMIS","2017","[ 4 12 29]","4","12","29"
"2","KABUPATEN MAJALENGKA","2017","[ 8  8 27]","8","8","27"
"2","KABUPATEN BANDUNG BARAT","2017","[ 3 12 22]","3","12","22"
"2","KABUPATEN PANGANDARAN","2017","[ 5 22 16]","5","22","16"
"2","KOTA TASIKMALAYA","2017","[ 7 27 22]","7","27","22"
"2","KABUPATEN CIANJUR","2018","[ 4  4 21]","4","4","21"
"2","KABUPATEN BANDUNG","2018","[19  7 16]","19","7","16"
"2","KABUPATEN GARUT","2018","[ 3  6 33]","3","6","33"
"2","KABUPATEN TASIKMALAYA","2018","[ 5  5 16]","5","5","16"
"2","KABUPATEN CIAMIS","2018","[ 5  5 25]","5","5","25"
"2","KABUPATEN BANDUNG BARAT","2018","[ 2  8 28]","2","8","28"
"2","KOTA BANDUNG","2018","[13 11 11]","13","11","11"
"2","KOTA CIMAHI","2018","[13 19 11]","13","19","11"
"2","KOTA TASIKMALAYA","2018","[ 8 31 19]","8","31","19"
"2","KABUPATEN BANDUNG","2019","[18 19 20]","18","19","20"
"2","KABUPATEN TASIKMALAYA","2019","[ 3 10 23]","3","10","23"
"2","KABUPATEN SUBANG","2019","[ 2 13 11]","2","13","11"
"2","KABUPATEN BANDUNG BARAT","2019","[ 1  8 26]","1","8","26"
"2","KOTA TASIKMALAYA","2019","[ 6 28 18]","6","28","18"
"2","KABUPATEN CIANJUR","2020","[ 4  1 21]","4","1","21"
"2","KABUPATEN BANDUNG","2020","[19 15 16]","19","15","16"
"2","KABUPATEN TASIKMALAYA","2020","[ 6  5 29]","6","5","29"
"2","KABUPATEN CIREBON","2020","[30 21  5]","30","21","5"
"2","KABUPATEN SUBANG","2020","[ 7 11 18]","7","11","18"
"2","KABUPATEN PURWAKARTA","2020","[ 5 12 19]","5","12","19"
"2","KABUPATEN BANDUNG BARAT","2020","[ 3 12 34]","3","12","34"
"2","KABUPATEN PANGANDARAN","2020","[10 24  5]","10","24","5"
"2","KOTA BANJAR","2020","[ 1 12 15]","1","12","15"
"3","KABUPATEN BOGOR","2012","[0 2 0]","0","2","0"
"3","KABUPATEN TASIKMALAYA","2012","[0 1 2]","0","1","2"
"3","KABUPATEN CIAMIS","2012","[0 2 2]","0","2","2"
"3","KABUPATEN CIREBON","2012","[0 1 0]","0","1","0"
"3","KABUPATEN MAJALENGKA","2012","[0 6 0]","0","6","0"
"3","KABUPATEN SUMEDANG","2012","[0 2 0]","0","2","0"
"3","KABUPATEN INDRAMAYU","2012","[10  6  0]","10","6","0"
"3","KABUPATEN SUBANG","2012","[4 6 0]","4","6","0"
"3","KABUPATEN PURWAKARTA","2012","[0 2 0]","0","2","0"
"3","KABUPATEN KARAWANG","2012","[0 0 0]","0","0","0"
"3","KABUPATEN BEKASI","2012","[0 5 0]","0","5","0"
"3","KABUPATEN BANDUNG BARAT","2012","[2 2 7]","2","2","7"
"3","KOTA BOGOR","2012","[ 2  1 15]","2","1","15"
"3","KOTA BANDUNG","2012","[6 2 4]","6","2","4"
"3","KOTA CIREBON","2012","[0 0 0]","0","0","0"
"3","KOTA BEKASI","2012","[0 0 0]","0","0","0"
