id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,jumlah_puting_beliung,jumlah_tanah_longsor,jumlah_bencana_alam,satuan,tahun
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10,35,100,145,KEJADIAN,2019
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3,8,7,18,KEJADIAN,2019
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18,19,20,57,KEJADIAN,2019
59,32,JAWA BARAT,3205,KABUPATEN GARUT,21,19,39,79,KEJADIAN,2019
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3,10,23,36,KEJADIAN,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,29,32,66,KEJADIAN,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8,20,34,62,KEJADIAN,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,14,2,25,KEJADIAN,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,14,37,53,KEJADIAN,2019
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16,12,50,78,KEJADIAN,2019
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,6,0,8,KEJADIAN,2019
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,13,11,26,KEJADIAN,2019
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,9,10,19,KEJADIAN,2019
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6,13,1,20,KEJADIAN,2019
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,2,0,9,KEJADIAN,2019
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,8,26,35,KEJADIAN,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2,2,4,KEJADIAN,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,11,70,112,193,KEJADIAN,2019
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,0,2,2,KEJADIAN,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,8,10,6,24,KEJADIAN,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,2,14,0,16,KEJADIAN,2019
77,32,JAWA BARAT,3275,KOTA BEKASI,4,0,1,5,KEJADIAN,2019
